[36m2025-12-26 01:19:43,623[0m - [32m__main__[0m - ERROR - Failed to register with STUN server. Exiting.
2026-01-01 16:16:41,264 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 51082)
2026-01-01 16:17:26,861 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:17:28,897 - client.network - INFO - Registered as 'receive2' with STUN server
2026-01-01 16:17:28,900 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5003
2026-01-01 16:18:10,142 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:18:12,186 - client.network - ERROR - Registration failed (Status 409): {"detail":"Peer 'receive2' already registered"}
2026-01-01 16:18:12,187 - __main__ - ERROR - Failed to register with STUN server. Exiting.
2026-01-01 16:18:18,787 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:18:20,811 - client.network - INFO - Registered as 'receive1' with STUN server
2026-01-01 16:18:20,814 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5003
